Method,nDCG,Delta,%,MRR,P,R,F1,MAP,rule,stat,threshold,alpha_low,alpha_high,high_conf_qids,low_conf_qids,used_dim,explained_variance
"adaptive(stat=max,thr=0.8428,lo=0.15,hi=0.40)",0.6494319536851333,0.1488358644998199,29.731727377662956,0.9044444444444444,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41203558878021906,binary_high_conf_low_alpha,max,0.8427861928939819,0.15,0.4,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.7884,lo=0.15,hi=0.40)",0.6491955998122094,0.14859951062689603,29.684512891167763,0.9044444444444444,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41130675376776715,binary_high_conf_low_alpha,max,0.7883978486061096,0.15,0.4,11,4,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7737,lo=0.25,hi=0.40)",0.6487833654109916,0.14818727622567818,29.60216418527021,0.9044444444444444,0.5626666666666668,0.482092870128046,0.5192727679537115,0.4110257535529839,binary_high_conf_low_alpha,mean,0.7737045988440514,0.25,0.4,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7157,lo=0.15,hi=0.40)",0.6487256885506134,0.1481295993653,29.590642549040087,0.9041666666666667,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41091212651358006,binary_high_conf_low_alpha,mean,0.7157147526741028,0.15,0.4,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.8428,lo=0.15,hi=0.35)",0.648711505023713,0.1481154158383996,29.587809221491824,0.9044444444444444,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41193892925963843,binary_high_conf_low_alpha,max,0.8427861928939819,0.15,0.35,8,7,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7737,lo=0.15,hi=0.40)",0.648644514826321,0.14804842564100762,29.574427135846488,0.9044444444444444,0.5626666666666668,0.482092870128046,0.5192727679537115,0.41146048936727614,binary_high_conf_low_alpha,mean,0.7737045988440514,0.15,0.4,4,11,512,0.7728558778762817
"adaptive(stat=max,thr=0.8428,lo=0.25,hi=0.40)",0.6485071584452728,0.14791106925995945,29.546988571300027,0.9044444444444444,0.5626666666666668,0.4819399236593101,0.5191840313669682,0.41098435003918254,binary_high_conf_low_alpha,max,0.8427861928939819,0.25,0.4,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.7884,lo=0.15,hi=0.35)",0.6484984988691438,0.1479024096838304,29.545258718367467,0.9044444444444444,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41127883407573074,binary_high_conf_low_alpha,max,0.7883978486061096,0.15,0.35,11,4,512,0.7728558778762817
"adaptive(stat=max,thr=0.7884,lo=0.25,hi=0.40)",0.6484719235136782,0.14787583432836482,29.53994997624189,0.9044444444444444,0.5626666666666668,0.4819399236593101,0.5191840313669682,0.4108319174151129,binary_high_conf_low_alpha,max,0.7883978486061096,0.25,0.4,11,4,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7157,lo=0.15,hi=0.35)",0.6480295460462387,0.14743345686092535,29.451579835724132,0.9041666666666667,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41096229852254884,binary_high_conf_low_alpha,mean,0.7157147526741028,0.15,0.35,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.8428,lo=0.20,hi=0.40)",0.6480161578450695,0.1474200686597561,29.448905383913882,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.4109778118296487,binary_high_conf_low_alpha,max,0.8427861928939819,0.2,0.4,8,7,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7157,lo=0.25,hi=0.40)",0.6479960661943134,0.14739997700899998,29.444891838624542,0.903921568627451,0.5626666666666668,0.4819399236593101,0.5191840313669682,0.41032712368360635,binary_high_conf_low_alpha,mean,0.7157147526741028,0.25,0.4,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.7884,lo=0.20,hi=0.40)",0.6478943882490314,0.14729829906371805,29.424580464349244,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.4105398174077589,binary_high_conf_low_alpha,max,0.7883978486061096,0.2,0.4,11,4,512,0.7728558778762817
"adaptive(stat=max,thr=0.8428,lo=0.15,hi=0.45)",0.6478698759748535,0.14727378678954006,29.419683847154754,0.9044444444444444,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41127130277152096,binary_high_conf_low_alpha,max,0.8427861928939819,0.15,0.45,8,7,512,0.7728558778762817
"adaptive(stat=std,thr=0.0501,lo=0.15,hi=0.40)",0.6478649697076572,0.14726888052234377,29.41870376215164,0.9044444444444444,0.5599999999999999,0.4806039231743735,0.5172730776502171,0.41034941439843153,binary_high_conf_low_alpha,std,0.050137179101289564,0.15,0.4,4,11,512,0.7728558778762817
"adaptive(stat=std,thr=0.0501,lo=0.20,hi=0.40)",0.6478637324826408,0.14726764329732744,29.418456611795683,0.9044444444444444,0.5599999999999999,0.4806039231743735,0.5172730776502171,0.4104854463814138,binary_high_conf_low_alpha,std,0.050137179101289564,0.2,0.4,4,11,512,0.7728558778762817
"adaptive(stat=max,thr=0.8428,lo=0.25,hi=0.35)",0.6477867097838528,0.14719062059853938,29.403070415128944,0.9044444444444444,0.5626666666666668,0.4819399236593101,0.5191840313669682,0.4108876905186019,binary_high_conf_low_alpha,max,0.8427861928939819,0.25,0.35,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.7884,lo=0.25,hi=0.35)",0.6477748225706126,0.1471787333852992,29.400695803441597,0.9044444444444444,0.5626666666666668,0.4819399236593101,0.5191840313669682,0.4108039977230765,binary_high_conf_low_alpha,max,0.7883978486061096,0.25,0.35,11,4,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7737,lo=0.20,hi=0.40)",0.6477428370454866,0.14714674786017323,29.39430631582534,0.9044444444444444,0.5613333333333334,0.4813521293873053,0.518275174933492,0.4109711531445999,binary_high_conf_low_alpha,mean,0.7737045988440514,0.2,0.4,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.6848,lo=0.15,hi=0.45)",0.6477205073500149,0.14712441816470145,29.389845694587144,0.9041666666666667,0.5626666666666668,0.4812073229267094,0.5187586299994537,0.4095948893904806,binary_high_conf_low_alpha,mean,0.6848042279481887,0.15,0.45,11,4,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7737,lo=0.25,hi=0.35)",0.6477117720807245,0.1471156828954111,29.388100721048787,0.9044444444444444,0.5626666666666668,0.482092870128046,0.5192727679537115,0.41103486147892687,binary_high_conf_low_alpha,mean,0.7737045988440514,0.25,0.35,4,11,512,0.7728558778762817
"adaptive(stat=max,thr=0.7884,lo=0.15,hi=0.45)",0.6476881158057697,0.14709202662045628,29.383375099841214,0.9044444444444444,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41058865712797854,binary_high_conf_low_alpha,max,0.7883978486061096,0.15,0.45,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0501,lo=0.25,hi=0.40)",0.647644302817705,0.14704821363239162,29.37462293636827,0.9044444444444444,0.5599999999999999,0.4806039231743735,0.5172730776502171,0.41042544500862216,binary_high_conf_low_alpha,std,0.050137179101289564,0.25,0.4,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7737,lo=0.15,hi=0.35)",0.647572921496054,0.14697683231074066,29.360363671625084,0.9044444444444444,0.5626666666666668,0.482092870128046,0.5192727679537115,0.4114695972932191,binary_high_conf_low_alpha,mean,0.7737045988440514,0.15,0.35,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.6848,lo=0.15,hi=0.40)",0.6475024881447757,0.14690639895946234,29.34629377519562,0.9041666666666667,0.5626666666666668,0.4812073229267094,0.5187586299994537,0.40956448926450745,binary_high_conf_low_alpha,mean,0.6848042279481887,0.15,0.4,11,4,512,0.7728558778762817
"adaptive(stat=mean,thr=0.6848,lo=0.25,hi=0.45)",0.6474606365790095,0.14686454739369614,29.337933429066208,0.903921568627451,0.5613333333333335,0.4803526220720085,0.5176952557033673,0.4095804150071674,binary_high_conf_low_alpha,mean,0.6848042279481887,0.25,0.45,11,4,512,0.7728558778762817
"adaptive(stat=mean,thr=0.6848,lo=0.15,hi=0.35)",0.6474244348676489,0.1468283456823355,29.330701708295162,0.9041666666666667,0.5626666666666668,0.4812073229267094,0.5187586299994537,0.40946951940537113,binary_high_conf_low_alpha,mean,0.6848042279481887,0.15,0.35,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0387,lo=0.15,hi=0.40)",0.647363320110938,0.1467672309256246,29.318493311539537,0.9044444444444444,0.5613333333333334,0.48131314303252953,0.5182525756904559,0.41000276076303377,binary_high_conf_low_alpha,std,0.03870659587205278,0.15,0.4,8,7,512,0.7728558778762817
"adaptive(stat=std,thr=0.0501,lo=0.15,hi=0.35)",0.6473038678635488,0.14670777867823537,29.30661702071873,0.9044444444444444,0.5613333333333334,0.48131314303252953,0.5182525756904559,0.4105364188881135,binary_high_conf_low_alpha,std,0.050137179101289564,0.15,0.35,4,11,512,0.7728558778762817
"adaptive(stat=std,thr=0.0501,lo=0.20,hi=0.35)",0.6473026306385324,0.14670654145321904,29.306369870362772,0.9044444444444444,0.5613333333333334,0.48131314303252953,0.5182525756904559,0.41067245087109583,binary_high_conf_low_alpha,std,0.050137179101289564,0.2,0.35,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7157,lo=0.25,hi=0.35)",0.6472999236899389,0.14670383450462554,29.30582912530863,0.903921568627451,0.5626666666666668,0.4819399236593101,0.5191840313669682,0.4103772956925752,binary_high_conf_low_alpha,mean,0.7157147526741028,0.25,0.35,8,7,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7157,lo=0.20,hi=0.40)",0.647297420851393,0.14670133166607957,29.305329153654828,0.903921568627451,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.4100030410917456,binary_high_conf_low_alpha,mean,0.7157147526741028,0.2,0.4,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.8428,lo=0.20,hi=0.35)",0.6472957091836495,0.14669961999833614,29.304987227742817,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.41088115230906813,binary_high_conf_low_alpha,max,0.8427861928939819,0.2,0.35,8,7,512,0.7728558778762817
"adaptive(stat=mean,thr=0.6848,lo=0.25,hi=0.40)",0.6472426173737704,0.14664652818845703,29.294381509674682,0.903921568627451,0.5613333333333335,0.4803526220720085,0.5176952557033673,0.40955001488119425,binary_high_conf_low_alpha,mean,0.6848042279481887,0.25,0.4,11,4,512,0.7728558778762817
"adaptive(stat=max,thr=0.7884,lo=0.20,hi=0.35)",0.6471972873059658,0.14660119812065242,29.28532629154895,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.41051189771572255,binary_high_conf_low_alpha,max,0.7883978486061096,0.2,0.35,11,4,512,0.7728558778762817
"adaptive(stat=mean,thr=0.6848,lo=0.25,hi=0.35)",0.6471645640966437,0.1465684749113303,29.278789442774244,0.903921568627451,0.5613333333333335,0.4803526220720085,0.5176952557033673,0.4094550450220581,binary_high_conf_low_alpha,mean,0.6848042279481887,0.25,0.35,11,4,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7157,lo=0.15,hi=0.45)",0.6471447794063049,0.14654869022099148,29.274837216465208,0.9041666666666667,0.5640000000000001,0.482794624514011,0.5202475477982504,0.4100389720196134,binary_high_conf_low_alpha,mean,0.7157147526741028,0.15,0.45,8,7,512,0.7728558778762817
"adaptive(stat=std,thr=0.0501,lo=0.25,hi=0.35)",0.6470832009735965,0.1464871117882831,29.262536194935336,0.9044444444444444,0.5613333333333334,0.48131314303252953,0.5182525756904559,0.41061244949830417,binary_high_conf_low_alpha,std,0.050137179101289564,0.25,0.35,4,11,512,0.7728558778762817
"adaptive(stat=std,thr=0.0387,lo=0.15,hi=0.35)",0.6470441728289387,0.14644808364362527,29.254739860624905,0.9044444444444444,0.5613333333333334,0.48131314303252953,0.5182525756904559,0.4104099770792852,binary_high_conf_low_alpha,std,0.03870659587205278,0.15,0.35,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.7884,lo=0.25,hi=0.45)",0.6469644395072386,0.1463683503219252,29.23881218491536,0.9044444444444444,0.5626666666666668,0.4819399236593101,0.5191840313669682,0.41011382077532427,binary_high_conf_low_alpha,max,0.7883978486061096,0.25,0.45,11,4,512,0.7728558778762817
"adaptive(stat=max,thr=0.8428,lo=0.25,hi=0.45)",0.646945080734993,0.14634899154967962,29.23494504079183,0.9044444444444444,0.5626666666666668,0.4819399236593101,0.5191840313669682,0.4102200640304844,binary_high_conf_low_alpha,max,0.8427861928939819,0.25,0.45,8,7,512,0.7728558778762817
"adaptive(stat=std,thr=0.0501,lo=0.15,hi=0.45)",0.6469015478724686,0.14630545868715517,29.22624883571454,0.9044444444444444,0.5626666666666666,0.48205388377327024,0.5192501512910952,0.4099477259802239,binary_high_conf_low_alpha,std,0.050137179101289564,0.15,0.45,4,11,512,0.7728558778762817
"adaptive(stat=std,thr=0.0501,lo=0.20,hi=0.45)",0.6469003106474523,0.14630422146213895,29.226001685358604,0.9044444444444444,0.5626666666666666,0.48205388377327024,0.5192501512910952,0.4100837579632061,binary_high_conf_low_alpha,std,0.050137179101289564,0.2,0.45,4,11,512,0.7728558778762817
"adaptive(stat=std,thr=0.0387,lo=0.20,hi=0.40)",0.6468924670495013,0.14629637786418792,29.224434833735014,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.40956674642430124,binary_high_conf_low_alpha,std,0.03870659587205278,0.2,0.4,8,7,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.1139,lo=0.15,hi=0.35)",0.6468065668065412,0.14621047762122785,29.207275242436594,0.9044444444444444,0.5613333333333334,0.48131314303252953,0.5182525756904559,0.41048593465423855,binary_high_conf_low_alpha,gap15,0.11385691165924072,0.15,0.35,4,11,512,0.7728558778762817
"dense@100>>KG(SVD sim-only @512,alpha=0.30)->@50",0.6467818491120564,0.146185759926743,29.202337590101934,0.9041666666666667,0.5613333333333334,0.4813521293873053,0.518275174933492,0.41051449808164653,fixed,fixed,,0.3,0.3,15,0,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.25,hi=0.35)",0.6466828772361365,0.1460867880508231,29.18256678524388,0.9044444444444444,0.5613333333333335,0.4803526220720085,0.5176952557033673,0.40981861766354066,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.25,0.35,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0501,lo=0.25,hi=0.45)",0.6466808809825164,0.14608479179720302,29.182168009931168,0.9044444444444444,0.5626666666666666,0.48205388377327024,0.5192501512910952,0.41002375659041446,binary_high_conf_low_alpha,std,0.050137179101289564,0.25,0.45,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7737,lo=0.20,hi=0.35)",0.6466712437152197,0.14607515452990627,29.180242851603936,0.9044444444444444,0.5613333333333334,0.4813521293873053,0.518275174933492,0.410980261070543,binary_high_conf_low_alpha,mean,0.7737045988440514,0.2,0.35,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7157,lo=0.20,hi=0.35)",0.6466012783470184,0.14600518916170502,29.166266440338894,0.903921568627451,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.41005321310071446,binary_high_conf_low_alpha,mean,0.7157147526741028,0.2,0.35,8,7,512,0.7728558778762817
"adaptive(stat=std,thr=0.0387,lo=0.20,hi=0.35)",0.6465733197675021,0.1459772305821887,29.160681382820403,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.40997396274055276,binary_high_conf_low_alpha,std,0.03870659587205278,0.2,0.35,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.9023,lo=0.15,hi=0.35)",0.6464775649546959,0.14588147576938248,29.141553224435853,0.9044444444444444,0.5613333333333334,0.48131314303252953,0.5182525756904559,0.41014735516979234,binary_high_conf_low_alpha,max,0.9023041129112244,0.15,0.35,4,11,512,0.7728558778762817
"adaptive(stat=max,thr=0.8428,lo=0.20,hi=0.45)",0.6464540801347898,0.14585799094947638,29.136861853405705,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.4102135258209506,binary_high_conf_low_alpha,max,0.8427861928939819,0.2,0.45,8,7,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7157,lo=0.25,hi=0.45)",0.6464151570500049,0.14581906786469145,29.129086506049664,0.903921568627451,0.5626666666666668,0.4819399236593101,0.5191840313669682,0.4094539691896397,binary_high_conf_low_alpha,mean,0.7157147526741028,0.25,0.45,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.9023,lo=0.15,hi=0.40)",0.6463964739005745,0.14580038471526113,29.125354325588418,0.9044444444444444,0.5599999999999999,0.4806039231743735,0.5172730776502171,0.4096375652613856,binary_high_conf_low_alpha,max,0.9023041129112244,0.15,0.4,4,11,512,0.7728558778762817
"adaptive(stat=max,thr=0.7884,lo=0.20,hi=0.45)",0.6463869042425917,0.1457908150572783,29.123442673022694,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.40982172076797024,binary_high_conf_low_alpha,max,0.7883978486061096,0.2,0.45,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0387,lo=0.15,hi=0.45)",0.6463671613501142,0.14577107216480079,29.119498796331676,0.9044444444444444,0.5626666666666666,0.48205388377327024,0.5192501512910952,0.4094935580647766,binary_high_conf_low_alpha,std,0.03870659587205278,0.15,0.45,8,7,512,0.7728558778762817
"adaptive(stat=std,thr=0.0387,lo=0.25,hi=0.40)",0.6463191877121125,0.1457230985267991,29.10991549373741,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.4095679031955991,binary_high_conf_low_alpha,std,0.03870659587205278,0.25,0.4,8,7,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.1139,lo=0.20,hi=0.35)",0.6462924487473118,0.14569635956199845,29.10457406870867,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.40991749392634436,binary_high_conf_low_alpha,gap15,0.11385691165924072,0.2,0.35,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.6848,lo=0.20,hi=0.45)",0.6462692921977989,0.14567320301248554,29.09994827357899,0.903921568627451,0.56,0.47961188133126775,0.5166979300036054,0.40861818473248085,binary_high_conf_low_alpha,mean,0.6848042279481887,0.2,0.45,11,4,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7737,lo=0.25,hi=0.45)",0.6461762718403548,0.14558018265504136,29.081366355051504,0.9044444444444444,0.5613333333333334,0.48139111574208115,0.5182977724866051,0.4098745178954674,binary_high_conf_low_alpha,mean,0.7737045988440514,0.25,0.45,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.6848,lo=0.20,hi=0.40)",0.6460512729925599,0.14545518380724654,29.056396354187484,0.903921568627451,0.56,0.47961188133126775,0.5166979300036054,0.4085877846065077,binary_high_conf_low_alpha,mean,0.6848042279481887,0.2,0.4,11,4,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7737,lo=0.15,hi=0.45)",0.6460374212556841,0.1454413320703707,29.05362930562776,0.9044444444444444,0.5613333333333334,0.48139111574208115,0.5182977724866051,0.4103092537097597,binary_high_conf_low_alpha,mean,0.7737045988440514,0.15,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0987,lo=0.15,hi=0.40)",0.64602584867682,0.1454297594915066,29.051317545884906,0.9044444444444444,0.5586666666666666,0.4783817009521512,0.5154164812561611,0.4095554133005315,binary_high_conf_low_alpha,gap15,0.09871435165405273,0.15,0.4,8,7,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0987,lo=0.15,hi=0.35)",0.646006392882827,0.14541030369751362,29.047431020517788,0.9044444444444444,0.5599999999999999,0.47909092081030724,0.5163954573764393,0.409957081477903,binary_high_conf_low_alpha,gap15,0.09871435165405273,0.15,0.35,8,7,512,0.7728558778762817
"adaptive(stat=std,thr=0.0387,lo=0.25,hi=0.35)",0.6460000404301132,0.14540395124479977,29.04616204282278,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.4099751195118505,binary_high_conf_low_alpha,std,0.03870659587205278,0.25,0.35,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.9023,lo=0.20,hi=0.35)",0.6459812057056441,0.1453851165203307,29.04239958345165,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.40958787996285795,binary_high_conf_low_alpha,max,0.9023041129112244,0.2,0.35,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.6848,lo=0.20,hi=0.35)",0.6459732197154331,0.1453771305301197,29.04080428728703,0.903921568627451,0.56,0.47961188133126775,0.5166979300036054,0.40849281474737154,binary_high_conf_low_alpha,mean,0.6848042279481887,0.2,0.35,11,4,512,0.7728558778762817
