Method,nDCG,Delta,%,MRR,P,R,F1,MAP,rule,stat,threshold,alpha_low,alpha_high,high_conf_qids,low_conf_qids,used_dim,explained_variance
"adaptive(stat=gap15,thr=0.0987,lo=0.25,hi=0.40)",0.6459206450406347,0.14532455585532134,29.030301873078418,0.9044444444444444,0.5586666666666666,0.4797492223196726,0.5162091638079375,0.40978199634744766,binary_high_conf_low_alpha,gap15,0.09871435165405273,0.25,0.4,8,7,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0987,lo=0.25,hi=0.35)",0.6459011892466419,0.14530510006132846,29.02641534771132,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.41018366452481914,binary_high_conf_low_alpha,gap15,0.09871435165405273,0.25,0.35,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.9023,lo=0.20,hi=0.40)",0.6459001146515227,0.14530402546620935,29.026200684604213,0.9044444444444444,0.5586666666666666,0.4797492223196726,0.5162091638079375,0.40907809005445117,binary_high_conf_low_alpha,max,0.9023041129112244,0.2,0.4,4,11,512,0.7728558778762817
"adaptive(stat=std,thr=0.0387,lo=0.20,hi=0.45)",0.6458963082886776,0.14530021910336421,29.025440318527174,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.4090575437260441,binary_high_conf_low_alpha,std,0.03870659587205278,0.2,0.45,8,7,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0519,lo=0.25,hi=0.40)",0.6458038570645447,0.1452077678792313,29.00697209112185,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.40974454122203213,binary_high_conf_low_alpha,gap15,0.05194243788719177,0.25,0.4,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0309,lo=0.25,hi=0.40)",0.6458038570645447,0.1452077678792313,29.00697209112185,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.40974454122203213,binary_high_conf_low_alpha,std,0.030915258166369343,0.25,0.4,11,4,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.1139,lo=0.15,hi=0.40)",0.6457702088637963,0.14517411967848293,29.000250464350227,0.9044444444444444,0.5586666666666666,0.4799866392237562,0.516346569656924,0.40966233742966435,binary_high_conf_low_alpha,gap15,0.11385691165924072,0.15,0.4,4,11,512,0.7728558778762817
"adaptive(stat=max,thr=0.9023,lo=0.15,hi=0.45)",0.6457668721960623,0.14517078301074893,28.999583925436703,0.9044444444444444,0.5626666666666666,0.48205388377327024,0.5192501512910952,0.40916541096014547,binary_high_conf_low_alpha,max,0.9023041129112244,0.15,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.15,hi=0.35)",0.6457575870030925,0.1451614978177791,28.997729098127735,0.9044444444444444,0.56,0.48061138864656455,0.5172774016861893,0.4102220040648469,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.15,0.35,4,11,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0519,lo=0.15,hi=0.40)",0.6457493978100283,0.14515330862471487,28.996093209785588,0.9044444444444444,0.5599999999999999,0.47909092081030724,0.5163954573764393,0.40941746505957705,binary_high_conf_low_alpha,gap15,0.05194243788719177,0.15,0.4,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0309,lo=0.15,hi=0.40)",0.6457493978100283,0.14515330862471487,28.996093209785588,0.9044444444444444,0.5599999999999999,0.47909092081030724,0.5163954573764393,0.40941746505957705,binary_high_conf_low_alpha,std,0.030915258166369343,0.15,0.4,11,4,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.1139,lo=0.25,hi=0.35)",0.6457429209820102,0.14514683179669685,28.994799386649944,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.40986943172749424,binary_high_conf_low_alpha,gap15,0.11385691165924072,0.25,0.35,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7157,lo=0.20,hi=0.45)",0.6457165117070843,0.14512042252177093,28.989523821079924,0.903921568627451,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.409129886597779,binary_high_conf_low_alpha,mean,0.7157147526741028,0.2,0.45,8,7,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.15,hi=0.35)",0.6456692261189861,0.14507313693367274,28.980077964606068,0.9044444444444444,0.5613333333333334,0.47898510070448713,0.5169000075330347,0.4093442545995117,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.15,0.35,11,4,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0987,lo=0.15,hi=0.45)",0.6455540130188309,0.14495792383351747,28.957062782776983,0.9044444444444444,0.5613333333333332,0.47983166155104795,0.5173925503464158,0.40928598702103286,binary_high_conf_low_alpha,gap15,0.09871435165405273,0.15,0.45,8,7,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0987,lo=0.20,hi=0.40)",0.6455271066530714,0.14493101746775805,28.95168791742332,0.9044444444444444,0.5573333333333333,0.47752700009745036,0.5143529153130495,0.40903617535262604,binary_high_conf_low_alpha,gap15,0.09871435165405273,0.2,0.4,8,7,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0987,lo=0.20,hi=0.35)",0.6455076508590787,0.1449115616737653,28.94780139205625,0.9044444444444444,0.5586666666666666,0.4782362199556064,0.5153320302775719,0.4094378435299975,binary_high_conf_low_alpha,gap15,0.09871435165405273,0.2,0.35,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.9023,lo=0.25,hi=0.35)",0.6454967102547973,0.14490062106948387,28.94561587672407,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.4096072846089906,binary_high_conf_low_alpha,max,0.9023041129112244,0.25,0.35,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.25,hi=0.45)",0.6454539628664099,0.14485787368109648,28.93707657941215,0.9044444444444444,0.5600000000000002,0.47973533812139124,0.5167695652883801,0.4092505462260583,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.25,0.45,11,4,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0519,lo=0.25,hi=0.35)",0.6454531226025123,0.1448570334171989,28.936908726742956,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.4100812418695536,binary_high_conf_low_alpha,gap15,0.05194243788719177,0.25,0.35,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0309,lo=0.25,hi=0.35)",0.6454531226025123,0.1448570334171989,28.936908726742956,0.9044444444444444,0.56,0.48045844217782857,0.5171888019984916,0.4100812418695536,binary_high_conf_low_alpha,std,0.030915258166369343,0.25,0.35,11,4,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0987,lo=0.25,hi=0.45)",0.6454488093826457,0.1448527201973323,28.936047109970517,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.409512570067949,binary_high_conf_low_alpha,gap15,0.09871435165405273,0.25,0.45,8,7,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0295,lo=0.25,hi=0.35)",0.645435459593114,0.1448393704078006,28.933380331339976,0.9044444444444444,0.5586666666666668,0.478871140590527,0.5157004246116248,0.4090344772285251,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.25,0.35,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.9023,lo=0.25,hi=0.40)",0.645415619200676,0.14481953001536263,28.92941697787666,0.9044444444444444,0.5586666666666666,0.4797492223196726,0.5162091638079375,0.4090974947005838,binary_high_conf_low_alpha,max,0.9023041129112244,0.25,0.4,4,11,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0519,lo=0.15,hi=0.35)",0.645398663347996,0.1448025741626826,28.926029845406724,0.9044444444444444,0.5599999999999999,0.47909092081030724,0.5163954573764393,0.40975416570709844,binary_high_conf_low_alpha,gap15,0.05194243788719177,0.15,0.35,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0309,lo=0.15,hi=0.35)",0.645398663347996,0.1448025741626826,28.926029845406724,0.9044444444444444,0.5599999999999999,0.47909092081030724,0.5163954573764393,0.40975416570709844,binary_high_conf_low_alpha,std,0.030915258166369343,0.15,0.35,11,4,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0519,lo=0.20,hi=0.40)",0.6453392072950922,0.1447431181097788,28.91415279438929,0.9044444444444444,0.5586666666666666,0.4782362199556064,0.5153320302775719,0.40897587584041045,binary_high_conf_low_alpha,gap15,0.05194243788719177,0.2,0.4,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0309,lo=0.20,hi=0.40)",0.6453392072950922,0.1447431181097788,28.91415279438929,0.9044444444444444,0.5586666666666666,0.4782362199556064,0.5153320302775719,0.40897587584041045,binary_high_conf_low_alpha,std,0.030915258166369343,0.2,0.4,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0387,lo=0.25,hi=0.45)",0.6453230289512888,0.1447269397659754,28.910920978529578,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.40905870049734183,binary_high_conf_low_alpha,std,0.03870659587205278,0.25,0.45,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.9023,lo=0.20,hi=0.45)",0.6452705129470105,0.14467442376169715,28.900430284452497,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.4086059357532111,binary_high_conf_low_alpha,max,0.9023041129112244,0.2,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.1139,lo=0.20,hi=0.40)",0.645256090804567,0.14466000161925363,28.897549290622326,0.9044444444444444,0.5573333333333333,0.4791319383690553,0.5152824848228272,0.4090938967017701,binary_high_conf_low_alpha,gap15,0.11385691165924072,0.2,0.4,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.20,hi=0.35)",0.6452104680445581,0.14461437885924466,28.888435603760882,0.9044444444444444,0.5586666666666668,0.47975668779186365,0.5162134854323999,0.4095560492138273,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.2,0.35,4,11,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.1139,lo=0.15,hi=0.45)",0.6451899779334963,0.1445938887481829,28.88434246130444,0.9044444444444444,0.5613333333333334,0.48143659982265297,0.518324134162948,0.4092472215008539,binary_high_conf_low_alpha,gap15,0.11385691165924072,0.15,0.45,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7737,lo=0.20,hi=0.45)",0.6451357434748498,0.1445396542895364,28.87350848560663,0.9044444444444444,0.5599999999999999,0.4806503750013404,0.5172999817549749,0.4098199174870835,binary_high_conf_low_alpha,mean,0.7737045988440514,0.2,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0987,lo=0.20,hi=0.45)",0.6450552709950824,0.14445918180976902,28.85743315431542,0.9044444444444444,0.5599999999999999,0.4789769606963471,0.5163292510551576,0.4087667490731274,binary_high_conf_low_alpha,gap15,0.09871435165405273,0.2,0.45,8,7,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0519,lo=0.20,hi=0.35)",0.6449884728330598,0.14439238364774643,28.8440894300104,0.9044444444444444,0.5586666666666666,0.4782362199556064,0.5153320302775719,0.4093125764879319,binary_high_conf_low_alpha,gap15,0.05194243788719177,0.2,0.35,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0309,lo=0.20,hi=0.35)",0.6449884728330598,0.14439238364774643,28.8440894300104,0.9044444444444444,0.5586666666666666,0.4782362199556064,0.5153320302775719,0.4093125764879319,binary_high_conf_low_alpha,std,0.030915258166369343,0.2,0.35,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.25,hi=0.40)",0.6449875440044597,0.14439145481914628,28.843903885492537,0.9044444444444444,0.5586666666666668,0.4790261182632352,0.515790277474989,0.40895991859430914,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.25,0.4,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0295,lo=0.15,hi=0.35)",0.6448143769230194,0.14421828773770595,28.809311709248778,0.9044444444444444,0.5586666666666666,0.47750361922300566,0.5149063988908674,0.4082084167498226,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.15,0.35,8,7,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0295,lo=0.25,hi=0.45)",0.6448069869195951,0.14421089773428175,28.807835468506223,0.9044444444444444,0.5586666666666668,0.47899459738065053,0.5157720044906441,0.40852945342384056,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.25,0.45,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.9023,lo=0.25,hi=0.45)",0.6447860174961637,0.1441899283108503,28.80364657772492,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.40862534039934373,binary_high_conf_low_alpha,max,0.9023041129112244,0.25,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.15,hi=0.40)",0.64474299093221,0.1441469017468966,28.795051511785886,0.9044444444444444,0.5573333333333333,0.47928488483779125,0.5153709201719484,0.40945700843276706,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.15,0.4,4,11,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.1139,lo=0.25,hi=0.40)",0.6447065630392655,0.14411047385395215,28.78777460856362,0.9044444444444444,0.5573333333333333,0.4791319383690553,0.5152824848228272,0.40904583450292004,binary_high_conf_low_alpha,gap15,0.11385691165924072,0.25,0.4,4,11,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.1139,lo=0.20,hi=0.45)",0.644675859874267,0.1440797706889536,28.781641287576534,0.9044444444444444,0.56,0.4805818989679521,0.5172603207666248,0.40867878077295966,binary_high_conf_low_alpha,gap15,0.11385691165924072,0.2,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.25,hi=0.35)",0.6446580733475286,0.14406198416221516,28.778088218121397,0.9044444444444444,0.5586666666666668,0.47975668779186365,0.5162134854323999,0.40950052154278616,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.25,0.35,4,11,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0519,lo=0.25,hi=0.45)",0.644525772037673,0.14392968285235963,28.75165946393939,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.4090983853985033,binary_high_conf_low_alpha,gap15,0.05194243788719177,0.25,0.45,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0309,lo=0.25,hi=0.45)",0.644525772037673,0.14392968285235963,28.75165946393939,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.4090983853985033,binary_high_conf_low_alpha,std,0.030915258166369343,0.25,0.45,11,4,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0519,lo=0.15,hi=0.45)",0.6444713127831566,0.14387522359784322,28.740780582603133,0.9044444444444444,0.5613333333333332,0.47983166155104795,0.5173925503464158,0.4087713092360482,binary_high_conf_low_alpha,gap15,0.05194243788719177,0.15,0.45,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0309,lo=0.15,hi=0.45)",0.6444713127831566,0.14387522359784322,28.740780582603133,0.9044444444444444,0.5613333333333332,0.47983166155104795,0.5173925503464158,0.4087713092360482,binary_high_conf_low_alpha,std,0.030915258166369343,0.15,0.45,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.15,hi=0.45)",0.6444403117492595,0.14384422256394613,28.73458775877434,0.9044444444444444,0.56,0.4783678167538698,0.5159751160617214,0.4087761831620293,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.15,0.45,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.20,hi=0.35)",0.6443892252634049,0.14379313607809152,28.724382627939665,0.9044444444444444,0.5586666666666666,0.4773896591090455,0.5148401354644554,0.40827233535275187,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.2,0.35,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0295,lo=0.20,hi=0.35)",0.6443269255705968,0.1437308363852834,28.711937526159204,0.9044444444444444,0.5573333333333333,0.4766489183683048,0.5138431149407985,0.40758304170589504,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.2,0.35,8,7,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.20,hi=0.40)",0.6441958719736757,0.14359978278836227,28.68575801741905,0.9044444444444444,0.5559999999999999,0.4784301839830904,0.5143066906078344,0.4087910535817475,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.2,0.4,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0295,lo=0.15,hi=0.45)",0.6441859042495005,0.1435898150641871,28.683766846415025,0.9044444444444444,0.5586666666666666,0.4776270760131291,0.514978167823311,0.40770339294513813,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.15,0.45,8,7,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.1139,lo=0.25,hi=0.45)",0.6441263321089654,0.14353024292365202,28.67186660551781,0.9044444444444444,0.56,0.4805818989679521,0.5172603207666248,0.40863071857410965,binary_high_conf_low_alpha,gap15,0.11385691165924072,0.25,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap15,thr=0.0519,lo=0.20,hi=0.45)",0.6440611222682205,0.14346503308290715,28.658840167206833,0.9044444444444444,0.5599999999999999,0.4789769606963471,0.5163292510551576,0.4083297200168816,binary_high_conf_low_alpha,gap15,0.05194243788719177,0.2,0.45,11,4,512,0.7728558778762817
"adaptive(stat=std,thr=0.0309,lo=0.20,hi=0.45)",0.6440611222682205,0.14346503308290715,28.658840167206833,0.9044444444444444,0.5599999999999999,0.4789769606963471,0.5163292510551576,0.4083297200168816,binary_high_conf_low_alpha,std,0.030915258166369343,0.2,0.45,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.15,hi=0.40)",0.6439738928873094,0.14337780370199604,28.641415064854744,0.9044444444444444,0.5586666666666666,0.4776585968957138,0.5149964890657952,0.40848555553028015,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.15,0.4,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0295,lo=0.20,hi=0.45)",0.643698452897078,0.14310236371176466,28.58639266332547,0.9044444444444444,0.5573333333333333,0.47677237515842824,0.5139148443070688,0.40707801790121045,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.2,0.45,8,7,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.25,hi=0.40)",0.6436434772766462,0.14304738809133277,28.575410631779565,0.9044444444444444,0.5559999999999999,0.4784301839830904,0.5143066906078344,0.4087355259107063,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.25,0.4,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.15,hi=0.45)",0.6435897899883952,0.14299370080308182,28.564685959851285,0.9044444444444444,0.5586666666666666,0.4800330910507231,0.5163734464641517,0.40872317940648467,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.15,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0295,lo=0.25,hi=0.40)",0.6435687491699903,0.1429726599846769,28.560482807078124,0.9044444444444444,0.5559999999999999,0.47754463678175374,0.5137945834200521,0.4079769891453484,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.25,0.4,8,7,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.20,hi=0.45)",0.6431603108936783,0.1425642217083649,28.478892422107936,0.9044444444444444,0.5573333333333333,0.47677237515842824,0.5139148443070688,0.4077042639152694,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.2,0.45,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.20,hi=0.45)",0.6430426710298609,0.1424465818445475,28.45539246548445,0.9044444444444444,0.5573333333333333,0.47917839019602226,0.5153093465453431,0.4080572245554651,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.2,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0295,lo=0.15,hi=0.40)",0.6429476664998954,0.14235157731458203,28.43641418498688,0.9044444444444444,0.5559999999999999,0.47617711541423235,0.5130020269129144,0.4071509286666459,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.15,0.4,8,7,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0157,lo=0.20,hi=0.40)",0.6426938920317281,0.1420978028464147,28.385719728188324,0.9044444444444444,0.5559999999999999,0.4760631553002722,0.5129358857306385,0.4074136362835203,binary_high_conf_low_alpha,gap12,0.01566213369369507,0.2,0.4,11,4,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0660,lo=0.25,hi=0.45)",0.6424902763328313,0.1418941871475179,28.345045079844944,0.9044444444444444,0.5573333333333333,0.47917839019602226,0.5153093465453431,0.4080016968844239,binary_high_conf_low_alpha,gap12,0.06602156162261963,0.25,0.45,4,11,512,0.7728558778762817
"adaptive(stat=gap12,thr=0.0295,lo=0.20,hi=0.40)",0.642460215147473,0.14186412596215958,28.339040001897327,0.9044444444444444,0.5546666666666666,0.4753224145595315,0.5119384352343188,0.4065255536227183,binary_high_conf_low_alpha,gap12,0.029452979564666748,0.2,0.4,8,7,512,0.7728558778762817
